小韻號	對應廣韻小韻號	代表字	全部字	反切	韻目
912	939	靈	靈柃舲齡囹麢鴒䉁蛉鈴零櫺伶泠瓴玲酃𦉢𩖊聆竛𪕌蘦笭軨靇龗岭魿醽苓𣬹翎霝孁𩚹紷𩆚	郎丁	青
913	940	寧	寧𣍆寍鸋𧕝	奴丁	青
914	941	汀	汀訂桯綎聽廳町𦀚頲艼	他丁	青
916	942	冥	冥榠銘鄍溟䫤螟𧱴蓂嫇覭𥹆	莫經	青
917	943	瓶	瓶蛢䶄屏荓䈂軿蓱竮䓑郱𤳊𤭔	薄經	青
918	944	熒	熒褮螢滎䁝𧵣	胡丁	青
919	945	扃	扃䮐駫坰熲𪕍絅冋	古螢	青
920	986	尤	尤𣏞睡疣沋訧郵	羽求	尤
921	987	憂	憂優瀀麀𢖒擾鄾𢆶怮嚘𥣯妋纋𧀥㱊	於求	尤
922	988	劉	劉留蒥勠摎𪅳駵騮疁𥹷流旒飂瘤榴瑬瑠𪕚憀䖻蟉裗懰䝀䉧硫𪆱	力求	尤
923	989	秋	秋鞧鶖鰍楸萩篍䨂鰌𪓰	七遊	尤
924	990	猷	猷悠油由猶攸蕕浟遊逌𢋅冘𨙂輶蘨秞蚰蝣櫾庮𩿬囮舀㕀𣔴䖻禉𨗰邮𧡹䍃斿㾞𦷿𦽈	以周	尤
925	991	牛	牛	語求	尤
926	992	遒	遒鮂䎿蝤啾湫𣟼噍𩮈揫	即由	尤
927	993	酋	酋㥢䎿逎𣟼𦵩𣩒煪𧤕緧蝤	字秋	尤
928	994	脩	脩羞修𩛢鏅䡭樇	息流	尤
929	995	抽	抽惆瘳婤𥉈	勅鳩	尤
930	997	犨	犨	赤周	尤
931	998	周	周州洲賙喌舟婤脽輖	職鳩	尤
932	999	讎	讎酬詶雔魗鮋	市流	尤
933	1000	柔	柔鍒㽥騥葇鞣蹂堥䐓腬𨛶	耳由	尤
934	1001	收	收	式州	尤
935	1002	丘	丘蓲蚯訄邱	去求	尤
936	1003	䬌	䬌秠衃肧䍍紑醅	匹尤	尤
937	1004	鳩	鳩𨷺丩𦮁	居求	尤
939	1005	不	不	甫鳩	尤
940	1006	搜	搜餿颼溲鎪廋蒐䐹鄋螋犙𧽏獀醙	所鳩	尤
941	1007	搊	搊篘𣔖	楚尤	尤
942	1008	鄒	鄒騶齱陬緅黀𨃘菆棷䑼	側鳩	尤
943	1009	愁	愁㵞	士求	尤
944	1010	休	休㹯鵂庥脙髤𩢮貅瞍	許尤	尤
945	996	惆	惆	去愁	尤
946	1011	囚	囚泅慒苬鮂	似由	尤
947	1012	儔	儔躊幬裯疇紬綢稠薵檮鯈籌𠷎怞嚋䬞菗妯𣪾鮋𨞪𪇘	直由	尤
948	1013	輈	輈盩啁譸	張流	尤
949	1014	裘	裘求銶仇厹頄蛷逑球賕艽鼽訅𦬖殏䤛㭝莍䜪朹絿䊵俅扏脙肍𢛃訄䣇𡨃毬	巨鳩	尤
950	1015	浮	浮哹桴枹𥰛罦琈涪粰䳕罘䱐芣蜉烰裒鉜䨗泭艀𡦄	縛謀	尤
951	1016	謀	謀雺眸牟侔矛鍪麰䱕蝥堥鴾劺𦭷𨡭侔𩭾	莫浮	尤
952	1031	裒	裒	蒲溝	侯
953	1017	侯	侯猴糇翵喉篌帿䫛鍭鯸餱銗睺骺𧮶	胡溝	侯
954	1018	謳	謳䙔鏂甌膒鷗蓲歐䁱剾	烏侯	侯
955	1019	羺	羺䨲獳	奴溝	侯
956	1020	樓	樓𡝤耬髏摟膢𤬏廔剅嘍瞜𦎹螻簍褸䝏䣚僂慺艛𨻻䱾鞻	落侯	侯
957	1021	涑	涑撨嗾	速侯	侯
958	1022	彄	彄摳剾韝𢂁𣻎䁱夠䋷	恪侯	侯
959	1023	齁	齁	呼侯	侯
960	1024	𣠏	𣠏緅	子侯	侯
961	1025	偷	偷鍮媮緰	託侯	侯
962	1026	頭	頭㓱投牏歈𪁞𪎨窬䤅緰	度侯	侯
963	1027	齵	齵	五侯	侯
964	1028	鉤	鉤𠛎溝褠韝緱篝𥴴𪓟㗕𤫱䑦冓句	古侯	侯
965	1029	兜	兜侸吺篼𥆖剅𧯠	當侯	侯
966	1030	𠟕	𠟕鯫	徂鉤	侯
967	1034	幽	幽泑呦怮麀𧍘𢆶	於虯	幽
968	1035	虬	虬觩璆觓	渠幽	幽
969	1036	彪	彪髟驫	甫休	幽
970	1038	樛	樛	居虯	幽
971	1037	鏐	鏐蟉	力幽	幽
972	1039	淲	淲	扶彪	幽
973	1040	稵	稵	子絲	幽
974	1041	犙	犙	山函	幽
975	1042	聱	聱	語虯	幽
976	1043a	飍	飍	香幽	幽
977	1043b	休	休	許彪	幽
978	1044	繆	繆	武彪	幽
979	1032	䜅	䜅	千隹	幽
980	1045	侵	侵駸䜷	七林	侵
981	1046	尋	尋鐔潯鱏樳鄩𨼔撏𦅀鬵灊襑	徐林	侵
982	1047	林	林琳淋瀶霖臨痳箖	力尋	侵
983	1048	琛	琛棽䑣綝郴𥉎賝	丑林	侵
984	1049	斟	斟針𪇅箴鱵㘰葴𣿎𪒯	職深	侵
985	1050	沉	沉𤘣䒞𩂸	除深	侵
986	1051	碪	碪	知林	侵
987	1052	諶	諶忱煁瘎	氏林	侵
988	1053	任	任鵀恁壬紝	如林	侵
989	1054	深	深𦸂	式針	侵
990	1055	淫	淫婬𥮍蟫鷣苂冗鱏鐔𨟏㸒	餘針	侵
991	1056	心	心杺	息林	侵
992	1057	愔	愔窨	於淫	侵
993	1058	祲	祲梫兓埐𪖼𥍯攕𩀿𩻛	姊心	侵
994	1059	𩷒	𩷒嶜梣埐𣜣䤁	昨淫	侵
995	1060	䛘	䛘	女心	侵
996	1061	琴	琴㩒黔禽芩檎凛𣪄鈙鵭紟擒㕋䅾耹黚庈靲𨙽	渠金	侵
997	1062	欽	欽衾嶔菳	去音	侵
998	1063	吟	吟崟菳𩂢𠪚	魚音	侵
999	1064	歆	歆廞㽎	許金	侵
1000	1065	金	金今黅衿襟𪑙	居音	侵
1001	1066	音	音陰霠瘖喑䤃䜾	於吟	侵
1002	1067	森	森蔘參槮棽𥥍	所今	侵
1003	1068	岑	岑涔𩅨梣㞥	鋤金	侵
1004	1069	簪	簪㻸𣚽兂	側岑	侵
1005	1070	嵾	嵾𣟹	楚今	侵
1006	1060	䋻	䋻	乃心	侵
1007	1071	𧡪	𧡪	充針	侵
1008	1099	鹽	鹽𣡶𨶒阽薝𪂈壛餤䦲㶄櫩㿕	余廉	鹽
1009	1100	廉	廉鎌𩄡㡘簾薕薟匲𥖝獫籢覝蠊𧸖鬑	力鹽	鹽
1010	1101	砭	砭	府廉	鹽
1011	1103	籖	籖臉鹼槧憸僉	七廉	鹽
1012	1104	詹	詹占瞻蟾	職廉	鹽
1013	1102	銛	銛暹枮綅𧃖襳纖嬐𡣳𢘁彡㩥	息廉	鹽
1014	1105	棎	棎	視詹	鹽
1015	1106	苫	苫痁𡝫	失廉	鹽
1016	1107	䪜	䪜㚲幨襜𤎥𤴿妗𢛈𢃔	處詹	鹽
1017	1108	髯	髯蚦呥柟𧦦蛅𩑺抩袡冉	汝鹽	鹽
1018	1109	黏	黏	女廉	鹽
1019	1110	炎	炎	于廉	鹽
1020	1111	霑	霑沾	張廉	鹽
1021	1112	覘	覘𡝫	丑廉	鹽
1022	1113	淹	淹菴崦醃腌	英廉	鹽
1023	1114	𢜩	𢜩	丘廉	鹽
1024	1115	𪙊	𪙊噞	語廉	鹽
1025	1116	尖	尖熸殲𡄑瀸虃𩅼𩃢鋟鑯懺	子廉	鹽
1026	1117	潛	潛朁鬵𥮒灊螹	昨鹽	鹽
1027	1118	箝	箝𢁮鉗黚拑鳹雂耹	巨淹	鹽
1028	1119	厭	厭猒嬮㜝䅧	於鹽	鹽
1029	1120	燖	燖䕭㰊𢅮	徐廉	鹽
1030	1124	添	添黇蟾	他兼	添
1031	1125	𩬑	𩬑𦕒䀡敁佔詀𢃣	丁廉	添
1032	1126	甜	甜恬湉菾萿	徒兼	添
1033	1127	鬑	鬑濂熑燫	勒兼	添
1034	1128	謙	謙㰹	苦兼	添
1035	1129	兼	兼縑鶼𥻧蒹𦋰	古甜	添
1036	1130	嫌	嫌稴	戶兼	添
1037	1131	鮎	鮎拈䬯	奴兼	添
1038	1132	馦	馦䵌欦䌠䁠㾾	許兼	添
1039	946	蒸	蒸烝𦚦䕄𪱝烝	諸膺	蒸
1040	947	承	承丞	署陵	蒸
1041	948	澄	澄憕懲澂	直陵	蒸
1042	949	陵	陵淩凌䔖㥄鯪綾𩜁掕夌𡕮祾	六應	蒸
1043	950	膺	膺應鷹𧕄	於陵	蒸
1044	951	憑	憑凭淜	扶冰	蒸
1045	967	磳	磳		蒸
1046	952	冰	冰棚掤	筆陵	蒸
1047	953	蠅	蠅	余陵	蒸
1048	954	繩	繩譝鱦乘澠溗塍憴騬	食陵	蒸
1049	955	升	升陞勝昇抍	識承	蒸
1050	956	仍	仍艿䚮㭁	如承	蒸
1051	957	兢	兢矜	居陵	蒸
1052	958	徴	徵癥𣃘𢾷	陟陵	蒸
1053	959	繒	繒鄫驓橧竲	疾陵	蒸
1054	960	凝	凝氷	魚陵	蒸
1055	961	興	興𨞾	虛陵	蒸
1056	962	稱	稱偁爯	處陵	蒸
1057	963	殑	殑䔷	其矜	蒸
1058	964	㱡	㱡	山矜	蒸
1059	966	僜	僜	丑升	蒸
1060	965	硱	硱	綺兢	蒸
1061	969	登	登璒燈簦㲪䔲𢍪	都滕	登
1062	970	楞	楞輘稜倰棱	慮登	登
1063	971	僧	僧	蘇曾	登
1064	972	崩	崩	北騰	登
1065	973	增	增憎曽矰罾磳熷竲䎖	作滕	登
1066	974	瞢	瞢夢	武登	登
1067	975	層	層	昨稜	登
1068	976	朋	朋堋鵬棚倗	步崩	登
1069	977	弘	弘苰	胡肱	登
1070	978	肱	肱鞃	古弘	登
1071	979	薨	薨𠐿	呼弘	登
1072	980	能	能	奴登	登
1073	981	滕	滕騰縢幐螣藤謄膡𪔖鰧𧈜	徒登	登
1074	982	恆	恒峘	胡登	登
1075	983	搄	搄縆	古恆	登
1076	984	鼟	鼟	他登	登
1077	1133	咸	咸鹹函𩤥椷稴螊諴	胡讒	咸
1078	1134	緘	緘瑊䌠尲椷𪒯黬輱	古咸	咸
1079	1135	㩥	攕櫼縿𩃢檆	所咸	咸
1080	1136	𤟟	𤟟	乙咸	咸
1081	1137	嵒	嵒䫡羬黬䖗諴碞	五咸	咸
1082	1138	㰹	㰹𧍧妗䩂	許咸	咸
1083	1139	詀	詀鵮䩇	竹咸	咸
1084	1140	諵	諵	女咸	咸
1085	1141	讒	讒獑鏨饞毚𪗂儳㔆酁	士咸	咸
1086	1142	𪅎	鵮	苦咸	咸
1087	1150	嵌	嵌	口銜	銜
1088	1143	銜	銜譀甉	戶監	銜
1089	1144	巉	巉嶃劖艬鑱獑涔	鋤銜	銜
1090	1145	巖	巖𡆑	五銜	銜
1091	1146	攙	攙𪖎	楚銜	銜
1092	1147	衫	衫纔彡縿髟芟𩌰𥌈𩃢	所銜	銜
1093	1148	監	監鍳礛㔋𥌈	古銜	銜
1094	1151	嚴	嚴䕾	語𩏩	嚴
1095	1152	𩏩	𩏩杴	虛嚴	嚴
1096	1153	醃	醃	於嚴	嚴
1097	1154	㪁	㪁	丘嚴	嚴
1098	1155	凡	凡帆𠆩𦨲𩗋柉	符䒦	凡
1099	1156	䒦	䒦𣢲沘	匹凡	凡
1100	1157	董	董蝀蕫	多動	董
1101	1158	蠓	蠓鸏䑃	莫孔	董
1102	1159	孔	孔	康董	董
1103	1160	㪌	㪌𣚜	先揔	董
1104	1161	侗	侗桶曈	他孔	董
1105	1162	揔	揔嵸㢔蓯𩭤熜𢊕𨍈總	作孔	董
1106	1163	澒	澒汞	胡孔	董
1107	1164	蓊	蓊滃暡郺勜䈵	阿孔	董
1108	1165	𨑊	𨑊	奴動	董
1109	1166	琫	琫菶䋽俸	方孔	董
1110	1167	曨	曨襱巃籠竉	力董	董
1111	1169	動	動酮姛眮挏	徒揔	董
1112	1170	菶	菶唪	蒲蠓	董
1113	1158	懵	懵	莫孔	董
1114	1171	腫	腫種踵㣫	之隴	腫
1115	1172	寵	寵埫	丑隴	腫
1116	1173	隴	隴壟浝	力奉	腫
1117	1174	擁	擁𢶜壅	於隴	腫
1118	1175	宂	宂䢇穁氄𪕁𢫨𤘺搑	而隴	腫
1119	1176	重	重鮦𢝆襱	直隴	腫
1120	1177	冢	冢塚	知壠	腫
1121	1178	奉	奉	扶隴	腫
1122	1179	捧	捧	敷隴	腫
1123	1180	勇	勇甬涌踊溶蛹塎俑悀傛	餘隴	腫
1124	1181	恐	恐	墟隴	腫
1125	1182	𡰁	尰	時宂	腫
1126	1183	拱	拱拲䂬鞏蛬珙𢪒㼦㧬𠦘㤨䡗䱋	居悚	腫
1127	1184	悚	悚竦慫聳䋶㩳愯𫢴駷	息拱	腫
1128	1185	洶	洶	許拱	腫
1129	1187	湩	湩	都隴	腫
1130	1186	覂	覂	方奉	腫
1131	1188	𪁪	𪁪䏵	莫湩	腫
1132	1189	𣑦	𣑦	渠隴	腫
1133	1190	𨿿	𨿿	充隴	腫
1134	1191	𢃓	𢃓	且勇	腫
1135	1192	䙕	䙕	子冢	腫
1136	1193	講	講港耩傋	古項	講
1137	1194	㭋	㭋玤棓蚌	步項	講
1138	1195	慃	慃	烏項	講
1139	1197	項	項缿	胡講	講
1140	1196	𠈵	𠈵𪁪	武項	講
1141	1200	紙	紙只坁軹枳咫扺𣲵恀𣖌汦芷坁䳅抧	諸氏	紙
1142	1201	是	是氏媞䟗諟徥褆𤜣	丞紙	紙
1143	1202	靡	靡𦗕𡬍𪎓	文彼	紙
1144	1203	彼	彼㗗	補靡	紙
1145	1204	被	被罷	皮彼	紙
1146	1205	毀	毀燬𡢕㩓檓𥵓𠷏	許委	紙
1147	1206	委	委𩨒𠷏蜲	於詭	紙
1148	1207	跪	跪𣄲	去委	紙
1149	1208	詭	詭垝䤥觤攱恑蛫祪㧪庪	居委	紙
1150	1209	髓	髓嶲靃䭉	息委	紙
1151	1210	累	累樏䉂	力委	紙
1152	1211	技	技妓徛錡䗁	渠綺	紙
1153	1212	倚	倚椅旖	於綺	紙
1154	1213	掎	掎剞庋㱦㞆敧	居綺	紙
1155	1214	綺	綺婍碕䞚㥓㾨觭	墟彼	紙
1156	1215	蟻	蟻錡礒齮檥羛䰙	魚倚	紙
1157	1216	蔿	蔿鄬蘤𤺉䦱薳儰寪䧦	爲委	紙
1158	1217	㭰	𭪿	即委	紙
1159	1218	𧄜	𧄜	而髓	紙
1160	1219	此	此佌跐玼泚𠈈𧺼𡘌𩢑	雌氏	紙
1161	1220	豸	豸褫䊓陊傂㸰阤䚦廌	池爾	紙
1162	1221	徙	徙璽	斯氏	紙
1163	1222	酏	酏迆匜袘胣崺柂㥴	移爾	紙
1164	1223	邐	邐峛	力氏	紙
1165	1224	躧	躧灑纚屣矖簁	所綺	紙
1166	1225	𢔌	𢔌鞞箄𪐄𩩙崥俾𦸣𠬈	卑婢	紙
1167	1226	爾	爾邇	兒氏	紙
1168	1227	渳	渳濔芈侎𨷲葞弭	彌婢	紙
1169	1228	婢	婢庳	便俾	紙
1170	1229	侈	侈姼鉹垑哆誃懘㢋㶴袳𧰺	尺爾	紙
1171	1230	弛	㢮豕	式是	紙
1172	1231	紫	紫訿啙𣸆茈呰㧗	茲爾	紙
1173	1232	捶	捶箠沝𦓝䮔	之累	紙
1174	1233	揣	揣	初委	紙
1175	1234	𤡪	𤡪	隨婢	紙
1176	1235	𦧇	𦧇𤜣	食紙	紙
1177	1212	輢	輢	於綺	紙
1178	1237	㱟	㱟披紴	匹靡	紙
1179	1238	諀	諀庀疕䚹	匹婢	紙
1180	1239	䓈	䓈䔺芛䝐𤼒	羊捶	紙
1181	1240	惢	惢	才捶	紙
1182	1241	跬	跬頍	去弭	紙
1183	1242	狔	狔柅旎	女氏	紙
1184	1243	硊	硊頠姽𪀗	魚毀	紙
1185	1244	𧻜	𧻜	求累	紙
1186	1245	褫	褫	勅豸	紙
1187	1246	㨖	㨖𧛢	陟侈	紙
1188	1247	𪖪	𪖪	興倚	紙
1189	1236	㧗	㧗	側氏	紙
1190	1251	旨	𣅀指恉砥	職雉	旨
1191	1252	視	視	承旨	旨
1192	1253	美	美𤛎媄	無鄙	旨
1193	1254	鄙	鄙啚	方美	旨
1194	1255	兕	兕羠薙䒨	徐姊	旨
1195	1256	几	几机麂㞦䢳𤜝㞛䂹	居履	旨
1196	1257	姊	姊秭	將几	旨
1197	1258	匕	匕妣秕比䃾沘疕𩩙	卑履	旨
1198	1259	軌	軌簋晷厬𩒶宄匭氿	居洧	旨
1199	1260	洧	洧鮪痏䵋	榮美	旨
1200	1261	矢	矢笶屎	式視	旨
1201	1263	死	死	息姊	旨
1202	1262	雉	雉滍薙	直几	旨
1203	1264	牝	牝	扶履	旨
1204	1265	履	履	力几	旨
1205	1266	水	水	式軌	旨
1206	1267	壘	壘礧猚鸓藟櫐誄耒讄㶟	力軌	旨
1207	1268	揆	揆楑𢜽嫢湀	葵癸	旨
1208	1269	趡	趡踓	千水	旨
1209	1270	柅	柅	女履	旨
1210	1272	否	否痞圮仳殍㠲䤏	符鄙	旨
1211	1273	㠑	㠑	徂壘	旨
1212	1274	𧯻	嚭𢻹𥝣	匹鄙	旨
1213	1275	蕊	蕊	如藟	旨
1214	1276	唯	唯蓶䲊瀢壝孈㨊踓	以水	旨
1215	1277	歖	歖	於几	旨
1216	1278	濢	濢噿嶉	遵誄	旨
1217	1279	黹	黹𢾫夂	胝几	旨
1218	1280	𡳭	𡳭	絺履	旨
1219	1284	跽	跽	曁几	旨
1220	1282	䁤	䁤	許癸	旨
1221	1283	跽	跽䣀	曁軌	旨
1222	1286	止	止畤洔茝趾址阯䛗底	諸市	止
1223	1287	市	市恃	時止	止
1224	1288	徴	徴	陟里	止
1225	1289	喜	喜	虛里	止
1226	1291	以	以巳苡佁𢻰	羊止	止
1227	1292	似	似祀姒巳耜汜鈶	詳里	止
1228	1290	紀	紀己妀𠮯	居以	止
1229	1293	史	史使𩰢	疏士	止
1230	1294	耳	耳洱駬䋙𪕔	而止	止
1231	1295	里	里裏鯉李㾖理娌俚𨛋	良士	止
1232	1297	始	始	詩止	止
1233	1296	枲	枲䈚𦱓葸諰𠪙	胥里	止
1234	1298	峙	峙痔跱庤偫𤲵	直里	止
1235	1299	起	起杞屺玘芑邔	墟里	止
1236	1300	士	士仕柹	鋤里	止
1237	1301	俟	俟涘戺𥾩	漦史	止
1238	1302	子	子虸耔梓仔𠂔杍	即里	止
1239	1303	矣	矣䒨	于紀	止
1240	1304	擬	擬儗薿孴𥣖	魚紀	止
1241	1305	齒	齒	昌里	止
1242	1306	恥	恥祉	勅里	止
1243a	1307a	㓼	㓼	初紀	止
1243b	1307b	欼	欼	初紀	止
1244	1308	滓	滓笫胏	側李	止
1245	1309	譩	譩醷	於擬	止
1246	1311	𡱕	尾𠆠浘䬿	無匪	尾
1247	1313	豈	豈䔇	氣狶	尾
1248	1312	扆	扆㥋偯㕈僾	依豈	尾
1249	1314	蟣	蟣幾穖𩴪	居俙	尾
1250	1315	斐	斐朏菲䨽悱	妃尾	尾
1251	1316	匪	匪棐篚餥榧蜚䕁	非尾	尾
1252	1317	韙	韙煒暐偉瑋葦椲韡𢯷	韋鬼	尾
1253	1318	鬼	鬼	居偉	尾
1254	1319	虺	虺𤈦娓𩄁虫	許偉	尾
1255	1320	顗	顗	魚豈	尾
1256	1321	狶	狶俙𪖥	希豈	尾
1257	1322	磈	磈嵔	於鬼	尾
1258	1323	膹	膹䆏	浮鬼	尾
1259	1324	語	語蘌圉敔圄衙齬禦䥏篽	魚舉	語
1260	1325	呂	呂旅祣膂𥰠穭梠𠐳侣𢈚㭚絽	力舉	語
1261	1326	佇	佇眝苧紵杼羜㿾坾䇡宁	除呂	語
1262	1327	與	與歟与予藇	余筥	語
1263	1328	煮	煮陼渚	諸与	語
1264	1329	汝	汝肗茹𡫽𪏮	如与	語
1265	1330	暑	暑鼠黍𧑓癙	舒莒	語
1266	1331	杵	杵處	昌与	語
1267	1332	貯	貯𢁼褚㤖詝𤲑柠䘢	丁呂	語
1268	1333	諝	諝稰醑湑糈	私呂	語
1269	1335	女	女籹	尼与	語
1270	1334	褚	楮禇	丑呂	語
1271	1336	許	許	虛呂	語
1272	1337	巨	巨拒秬距炬𧇽粔鉅苣駏𦼫𦊐䶙歫𦼫虡	其呂	語
1273	1338	所	所糈齭盨疋	疏舉	語
1274	1339	楚	楚礎齼濋𪓐	初舉	語
1275	1340	阻	阻俎	側呂	語
1276	1341	齟	齟	鋤呂	語
1277	1342	咀	咀沮跙𧽭租	慈呂	語
1278	1343	𢮁	𢮁𩩘	於許	語
1279	1344	舉	舉莒櫸筥𧺹𥱿柜䢹舁	居許	語
1280	1345	敘	敘序漵緒抒嶼㵰𨣦鱮𡱣藇	徐呂	語
1281	1346	去	去麮𥿇	羌舉	語
1282	1348	墅	墅	署与	語
1283	1347	紓	紓杼	神与	語
1284	1349	𤿚	𤿚	七与	語
1285	1350	苴	苴	子与	語
1286	1359	祤	祤	況羽	麌
1287	1351	麌	麌俁	虞矩	麌
1288	1352	羽	羽禹雨宇瑀祤鄅頨楀萭䣁䨞	于矩	麌
1289	1353	聚	聚鄹	慈雨	麌
1290	1354	甫	甫脯斧俯府黼簠蜅莆郙𥒰鯆頫	方主	麌
1291	1355	武	武舞嫵侮𦌬憮𢜮廡珷甒潕鵡瞴𦊏橆膴	無主	麌
1292	1356	父	父輔䩉腐釜𩾿鬴秿㕮蚥腐滏	扶雨	麌
1293	1357	撫	撫弣殕拊䋨俌䞤𢻬𩭍	孚武	麌
1294	1358	柱	柱	直主	麌
1295	1359	詡	詡𦀒姁珝栩欨喣䧁昫	況羽	麌
1296	1360	竪	竪裋	殊主	麌
1297	1361	庾	庾瘐窳瘉愈貐楰㼌㥚斞𦳅	以主	麌
1298	1362	主	主麈枓宔	之庾	麌
1299	1363	傴	傴迃	於武	麌
1300	1364	齲	齲	驅主	麌
1301	1365	𪐴	𪐴拄	智主	麌
1302	1366	乳	乳醹	而主	麌
1303	1367	寠	寠貗	其矩	麌
1304	1368	𢿙	數	所矩	麌
1305	1369	矩	矩踽椇枸蒟聥𣕌楀	俱羽	麌
1306	1369	𦐛	𦐛		麌
1307	1370	取	取	七庾	麌
1308	1371	縷	縷𨻻僂褸簍嶁漊蔞𦳭慺	力主	麌
1309	1372	䋶	䋶	思主	麌
1310	1374	姥	姥莽䥈媽𢜮	莫補	姥
1311	1375	土	土吐稌芏	他古	姥
1312	1376	杜	杜𢾅肚𤬪靯	徒古	姥
1313	1377	魯	魯櫓滷𢲸虜樐䲐艣鐪蓾㭔㢚鹵	郎古	姥
1314	1379	覩	覩暏肚賭堵楮𥀁帾㕆	當古	姥
1315	1380	古	古鼓𡔷瞽股罟蠱估盬鈷𦍩詁牯𥂩夃沽夗	姑戶	姥
1316	1378	蔖	蔖	采古	姥
1317	1381	五	五午旿伍逜	吾古	姥
1318	1382	簿	簿部	裴古	姥
1319	1383	粗	粗麆徂捔	徂古	姥
1320	1384	祖	祖珇組	則古	姥
1321	1385	虎	虎琥戽滸	呼古	姥
1322	1386	塢	塢溩鄔瑦䛩𧽋䡧	烏古	姥
1323	1387	苦	苦𥯶	康杜	姥
1324	1388	怒	怒弩砮努	奴古	姥
1325	1389	戶	户楛扈怙鄠帍祜昈𡻮岵𩿇芐酤𡜡戽滬㕆鳸	胡古	姥
1326	1390	普	普溥浦誧烳	滂古	姥
1327	1391	補	補譜圃	博古	姥
1328	1392	薺	薺𩶆啙	徂礼	薺
1329	1393	禮	禮𥴡䗍𦪶澧醴鱧豊𣀷欐欚蠡	盧啓	薺
1330	1394	體	體醍涕挮緹𣈡	他礼	薺
1331	1395	䫌	䫌	匹米	薺
1332	1396	濟	濟䍤癠𡖉	子礼	薺
1333	1397	邸	邸底詆䏄坻抵牴弤㪆軧堤	都礼	薺
1334	1399	禰	禰嬭䦵苨泥坭𩯨薾檷𩋪	乃礼	薺
1335	1398	弟	弟娣悌遞㼵	徒礼	薺
1336	1400	洗	洗	先礼	薺
1337	1401	泚	泚緀玼	千礼	薺
1338	1402	啓	啓𣕥䋯𩠬卟晵㒅䏿䡔	康礼	薺
1339	1403	傒	傒謑蒵𧨍匸	胡礼	薺
1340	1404	米	米眯䋛洣𡬍蔝	莫礼	薺
1341	1405	陛	陛𭠷髀蜌	傍礼	薺
1342	1406	𠯋	𠯋䚷	一弟	薺
1343	1407	堄	堄掜晲㪒觬䘽	吾體	薺
1344	1408	㪏	㪏	補米	薺
1345	1409	蟹	蟹解澥嶰獬䲒	鞵買	蟹
1346	1412	豸	豸	宅買	蟹
1347	1413	妳	妳	奴解	蟹
1349	1410	買	買嘪蕒㵋鷶	莫解	蟹
1350	1411	䒓	䒓𡢖𦝨	口解	蟹
1351	1414	罷	罷矲猈䥯	薄解	蟹
1352	1416	擺	擺	北買	蟹
1353	1415	矮	矮㢊	烏解	蟹
1355	1417	解	解薢檞嶰	加買	蟹
1356	1424	駭	駭駴	諧楷	駭
1357	1425	楷	楷𥏪鍇	苦駭	駭
1358	1426	騃	騃娾	五駭	駭
