小韻號	音韻地位描述	代表字	全部字	反切	韻目
519	曉合二刪平	豩	豩	呼關	刪
520	見開三B仙平	㨜	㨜	几焉	刪
529	疑合二山平	頑	頑	吳鱞	山
536	徹開二山平	譠	譠	丑山	山
713	以開三歌平	虵	虵	夷柯	歌
779	清開一談平	笘	笘	倉甘	談
915	影開四青平	鯖	鯖	於形	青
938	見開三A幽平	𠠳	𠠳𦫶朻㽱	居虯	尤
1348	莊開二佳上	抧	抧	側解	蟹
1354	疑開二佳上	𧡋	𧡋	牛買	蟹
1360	見開二皆上	鍇	鍇	古駭	駭
1422	疑合三B真上	輑	輑	牛隕	軫
1436	曉開三C殷上	脪	脪炘	興近	隱
1572	見開三A仙上	𢵈	𢵈	基善	獮
1726	見開一談上	𠿑	𠿑	工覽	敢
1876	精開三幽上	愀	愀	茲糾	黝
1955	曉開三C嚴上	險	險	希埯	广
2034	船開三支去	㑥	㑥伿㒾	神伎	寘
2054	明三B支去	縻	縻	靡寄	寘
2137	云開三C之去	䔬	䔬	焉記	志
2343	初開二皆去	瘥	瘥	楚介	怪
2398	滂三A祭去	瞥	瞥	孚吠	廢
2419	云合三B真去	韻	韻	爲捃	震
2430	見合三B真去	攈	攈捃	居韻	震
2536	初開二山去	羼	羼	初莧	襇
2635	幫三A宵去	驃	驃		笑
2636	昌開三宵去	覞	覞	昌召	笑
2671	透開一豪去	韜	韜	他到	号
2817	疑開二庚去	鞕	鞕	五孟	敬
2838	徹開二耕去	牚	牚	丑迸	諍
2867	匣合四青去	熒	熒	胡定	徑
2992	曉開二咸去	闞	闞	火陷	陷
3138	羣合三A真入	𧽻	𧽻僪趉𢵮𧾣	其聿	質
3152	見合三B真入	茁	茁	几律	質
3155	書合三真入	絀	絀	式出	質
3191	疑開三C元入	䡾	䡾	語謁	月
3270	孃開二刪入	𤷈	𤷈	女鎋	鎋
3281	溪開二刪入	䔾	䔾䅥	袪刹	鎋
3340	並三A仙入	嫳	嫳	扶別	薛
3350	昌合三仙入	啜	啜	處雪	薛
3487	初開二銜入	𦦱	𦦱	初甲	狎
3490	崇開二銜入	渫	渫	士甲	狎
3517	影開四添入	擪	擪靨	於協	怗
3529	船開三侵入	褶	褶	神執	緝